measure,group,group_value,count
CTann via proteomics,Age,69,25
CTann via proteomics,Age,78,8
CTann via proteomics,Ethnicity,Black or African American,17
CTann via proteomics,Ethnicity,Unknown,27
CTann via proteomics,Ethnicity,White,52
CTann via proteomics,Organ,large intestine,55
CTann via proteomics,Organ,lung,2
CTann via proteomics,Organ,skin,2
CTann via proteomics,Organ,small intestine,32
CTann via proteomics,Organ,spleen,5
CTann via proteomics,Portal,HuBMAP,96
CTann via proteomics,Sex,female,16
CTann via proteomics,Sex,male,80
CTann via transcriptomics,Age,10,2
CTann via transcriptomics,Age,14,2
CTann via transcriptomics,Age,17,1
CTann via transcriptomics,Age,18,8
CTann via transcriptomics,Age,19,1
CTann via transcriptomics,Age,20,2
CTann via transcriptomics,Age,21,2
CTann via transcriptomics,Age,22,1
CTann via transcriptomics,Age,24,21
CTann via transcriptomics,Age,25,9
CTann via transcriptomics,Age,28,3
CTann via transcriptomics,Age,29,5
CTann via transcriptomics,Age,3,3
CTann via transcriptomics,Age,30,5
CTann via transcriptomics,Age,31,1
CTann via transcriptomics,Age,33,1
CTann via transcriptomics,Age,37,55
CTann via transcriptomics,Age,38,9
CTann via transcriptomics,Age,40,8
CTann via transcriptomics,Age,41,2
CTann via transcriptomics,Age,42,1
CTann via transcriptomics,Age,43,6
CTann via transcriptomics,Age,45,18
CTann via transcriptomics,Age,5,1
CTann via transcriptomics,Age,50,23
CTann via transcriptomics,Age,51,2
CTann via transcriptomics,Age,53,2
CTann via transcriptomics,Age,54,21
CTann via transcriptomics,Age,55,40
CTann via transcriptomics,Age,56,2
CTann via transcriptomics,Age,57,16
CTann via transcriptomics,Age,59,4
CTann via transcriptomics,Age,60,14
CTann via transcriptomics,Age,61,2
CTann via transcriptomics,Age,62,2
CTann via transcriptomics,Age,63,4
CTann via transcriptomics,Age,64,2
CTann via transcriptomics,Age,65,20
CTann via transcriptomics,Age,66,32
CTann via transcriptomics,Age,67,75
CTann via transcriptomics,Age,69,7
CTann via transcriptomics,Age,70,6
CTann via transcriptomics,Age,75,1
CTann via transcriptomics,Age,76,10
CTann via transcriptomics,Age,78,15
CTann via transcriptomics,Age,Unknown,45
CTann via transcriptomics,Ethnicity,Black or African American,73
CTann via transcriptomics,Ethnicity,Unknown,135
CTann via transcriptomics,Ethnicity,White,304
CTann via transcriptomics,Organ,heart,109
CTann via transcriptomics,Organ,kidney,237
CTann via transcriptomics,Organ,large intestine,39
CTann via transcriptomics,Organ,liver,2
CTann via transcriptomics,Organ,lung,52
CTann via transcriptomics,Organ,male reproductive system,4
CTann via transcriptomics,Organ,mammary gland,3
CTann via transcriptomics,Organ,prostate gland,4
CTann via transcriptomics,Organ,skin,2
CTann via transcriptomics,Organ,small intestine,39
CTann via transcriptomics,Organ,spleen,11
CTann via transcriptomics,Organ,ureter,13
CTann via transcriptomics,Organ,urinary bladder,14
CTann via transcriptomics,Portal,GTEx,15
CTann via transcriptomics,Portal,HCA,82
CTann via transcriptomics,Portal,HuBMAP,371
CTann via transcriptomics,Portal,KPMP,27
CTann via transcriptomics,Portal,NHLBI/LungMap,9
CTann via transcriptomics,Portal,SenNet,8
CTann via transcriptomics,Sex,female,180
CTann via transcriptomics,Sex,male,332
RUI registered,Age,0.1,10
RUI registered,Age,0.3,4
RUI registered,Age,0.52,2
RUI registered,Age,1,38
RUI registered,Age,1.27,4
RUI registered,Age,1.45,2
RUI registered,Age,1.6,10
RUI registered,Age,1.8,4
RUI registered,Age,10,18
RUI registered,Age,11,6
RUI registered,Age,13.1,4
RUI registered,Age,14,2
RUI registered,Age,14.98,4
RUI registered,Age,16,8
RUI registered,Age,17,5
RUI registered,Age,18,38
RUI registered,Age,19,4
RUI registered,Age,2,4
RUI registered,Age,2.33,4
RUI registered,Age,20,33
RUI registered,Age,21,9
RUI registered,Age,22,3
RUI registered,Age,23,3
RUI registered,Age,23.8,20
RUI registered,Age,23.83,2
RUI registered,Age,24,176
RUI registered,Age,25,61
RUI registered,Age,28,63
RUI registered,Age,29,16
RUI registered,Age,3.5,4
RUI registered,Age,3.79,2
RUI registered,Age,3.98,4
RUI registered,Age,30,53
RUI registered,Age,31,12
RUI registered,Age,32,12
RUI registered,Age,34,1
RUI registered,Age,36,7
RUI registered,Age,37,141
RUI registered,Age,38,120
RUI registered,Age,39,9
RUI registered,Age,4.45,2
RUI registered,Age,40,11
RUI registered,Age,41,8
RUI registered,Age,42,5
RUI registered,Age,43,203
RUI registered,Age,44,15
RUI registered,Age,45,28
RUI registered,Age,46,4
RUI registered,Age,47,4
RUI registered,Age,48,6
RUI registered,Age,49,53
RUI registered,Age,5,2
RUI registered,Age,5.9,4
RUI registered,Age,50,32
RUI registered,Age,51,35
RUI registered,Age,52,4
RUI registered,Age,53,8
RUI registered,Age,54,146
RUI registered,Age,55,146
RUI registered,Age,56,26
RUI registered,Age,57,91
RUI registered,Age,58,12
RUI registered,Age,59,25
RUI registered,Age,60,40
RUI registered,Age,61,7
RUI registered,Age,61.8,4
RUI registered,Age,62,219
RUI registered,Age,64,36
RUI registered,Age,65,37
RUI registered,Age,66,94
RUI registered,Age,67,206
RUI registered,Age,68,14
RUI registered,Age,69,55
RUI registered,Age,70,16
RUI registered,Age,71,2
RUI registered,Age,72,62
RUI registered,Age,73,10
RUI registered,Age,75,17
RUI registered,Age,76,23
RUI registered,Age,77,27
RUI registered,Age,78,154
RUI registered,Age,8.66,4
RUI registered,Age,80,2
RUI registered,Age,81,1
RUI registered,Age,86,1
RUI registered,Age,90,2
RUI registered,Age,Unknown,116
RUI registered,Ethnicity,Black or African American,382
RUI registered,Ethnicity,Multiple races,2
RUI registered,Ethnicity,Unknown,409
RUI registered,Ethnicity,White,2148
RUI registered,Organ,blood vasculature,2
RUI registered,Organ,brain,33
RUI registered,Organ,heart,441
RUI registered,Organ,kidney,842
RUI registered,Organ,large intestine,380
RUI registered,Organ,liver,76
RUI registered,Organ,lung,481
RUI registered,Organ,lymph node,7
RUI registered,Organ,male reproductive system,21
RUI registered,Organ,prostate gland,4
RUI registered,Organ,skin,16
RUI registered,Organ,small intestine,457
RUI registered,Organ,spleen,90
RUI registered,Organ,thymus,46
RUI registered,Organ,ureter,33
RUI registered,Organ,urinary bladder,28
RUI registered,Organ,uterus,1
RUI registered,Portal,Allen Institute for Brain Science,10
RUI registered,Portal,GTEx,35
RUI registered,Portal,GUDMAP,12
RUI registered,Portal,HCA,108
RUI registered,Portal,HRA,1
RUI registered,Portal,HTAN,5
RUI registered,Portal,HuBMAP,1852
RUI registered,Portal,KPMP,49
RUI registered,Portal,SPARC,25
RUI registered,Portal,SenNet,780
RUI registered,Portal,UEdinburgh,64
RUI registered,Sex,female,901
RUI registered,Sex,male,2040
